primary_area,paper_count,labeled_count,accept_rate_labeled,review_rating_avg_mean,review_rating_avg_median
deep_learning,1772,1772,0.9509029345372461,,
applications,1012,1012,0.9703557312252964,,
theory,491,491,0.9714867617107943,,
social_and_economic_aspects_of_machine_learning,416,416,0.9447115384615384,,
reinforcement_learning,370,370,0.9459459459459459,,
general_machine_learning,360,360,0.9583333333333334,,
machine_learning_for_sciences,342,342,0.9502923976608187,,
probabilistic_methods,219,219,0.9452054794520548,,
optimization,213,213,0.92018779342723,,
neuroscience_and_cognitive_science,168,168,0.9642857142857143,,
evaluation,61,61,0.9180327868852459,,
other,61,61,0.9180327868852459,,
infrastructure,57,57,0.9298245614035088,,
